Voiture n°1,Toyota,salarié,non,19,
Voiture n°2,Toyota,chômeur,non,38,
Voiture n°3,Mercedes,RSA,oui,41,
Voiture n°4,Renault,salarié,non,52,
Voiture n°5,Toyota,patron,non,29,
Voiture n°6,Jeep,cadre,oui,25,
Voiture n°7,Citroen,chômeur,non,32,
Voiture n°8,Mercedes,salarié,non,20,
Voiture n°9,Toyota,étudiant,non,18,
Voiture n°10,Renault,RSA,non,31,
Voiture n°11,Jeep,salarié,non,31,
Voiture n°12,Toyota,patron,oui,32,
Voiture n°13,Honda,étudiant,non,21,
Voiture n°14,Urus,salarié,non,41,
Voiture n°15,Citroen,salarié,non,30,
Voiture n°16,Peugot,cadre,non,29,
Voiture n°17,Honda,étudiant,oui,23,
Voiture n°18,BMW,chômeur,non,21,
Voiture n°19,Renault,salarié,non,18,
Voiture n°20,BMW,étudiant,non,19,
Voiture n°21,BMW,patron,non,56,
Voiture n°22,Cayen,salarié,non,35,
Voiture n°23,Chevrolet,salarié,non,29,
Voiture n°24,Mustang,étudiant,non,36,
Voiture n°25,Citroen,chômeur,non,40,
Voiture n°26,Honda,salarié,non,28,
Voiture n°27,Corvette,cadre,non,40,
Voiture n°28,Renault,patron,oui,52,
Voiture n°29,BMW,RSA,non,25,
Voiture n°30,Volkswagen,étudiant,non,22,
